Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Cliff Alexander\alexacl01,Nov 15 '15 POR @ CHO,20,1,8,36,5,10,0,0,0,0,2,6,0,1,2,1,1,10,.500,,,4.5,1.3,0.8,0.0
2,Justin Anderson\anderju01,Oct 28 '15 DAL @ PHO,22,1,55,647,71,175,22,83,44,55,18,132,29,19,25,24,45,208,.406,.265,.800,11.8,3.8,2.4,0.5
3,Thanasis Antetokounmpo\antetth01,Jan 29 '16 NYK vs. PHO,23,1,2,6,3,4,0,1,0,0,0,1,0,0,0,0,2,6,.750,.000,,3.0,3.0,0.5,0.0
4,Keith Appling\applike01,Jan 18 '16 ORL @ ATL,23,1,5,27,2,8,0,3,2,2,0,1,1,1,0,3,5,6,.250,.000,1.000,5.4,1.2,0.2,0.2
5,Nemanja Bjelica\bjeline01,Oct 28 '15 MIN @ LAL,27,1,60,1075,110,235,48,125,40,55,49,210,83,26,21,47,154,308,.468,.384,.727,17.9,5.1,3.5,1.4
6,Devin Booker\bookede01,Oct 28 '15 PHO vs. DAL,19,1,76,2108,367,867,99,289,215,256,27,187,200,44,20,160,225,1048,.423,.343,.840,27.7,13.8,2.5,2.6
7,Anthony Brown\brownan02,Oct 30 '15 LAL @ SAC,23,1,29,599,39,126,20,70,17,20,9,70,19,14,5,15,34,115,.310,.286,.850,20.7,4.0,2.4,0.7
8,Willie Cauley-Stein\caulewi01,Oct 28 '15 SAC vs. LAC,22,1,66,1412,191,339,0,2,81,125,134,352,37,48,66,46,146,463,.563,.000,.648,21.4,7.0,5.3,0.6
9,Rakeem Christmas\chrisra01,Apr 13 '16 IND @ MIL,24,1,1,6,2,2,0,0,0,0,1,1,0,0,0,0,1,4,1.000,,,6.0,4.0,1.0,0.0
10,Coty Clarke\clarkco01,Mar 15 '16 BOS @ IND,23,1,3,6,2,4,2,2,0,0,0,1,0,0,0,1,0,6,.500,1.000,,2.0,2.0,0.3,0.0
11,Pat Connaughton\connapa01,Oct 30 '15 POR @ PHO,23,1,34,143,13,49,5,21,5,5,11,32,10,2,0,10,6,36,.265,.238,1.000,4.2,1.1,0.9,0.3
12,Branden Dawson\dawsobr01,Dec 28 '15 LAC @ WAS,22,1,6,29,2,5,0,0,1,1,2,4,0,0,1,0,2,5,.400,,1.000,4.8,0.8,0.7,0.0
13,Bryce Dejean-Jones\dejeabr01,Jan 21 '16 NOP vs. DET,23,1,14,279,28,69,12,32,11,21,8,48,15,10,2,11,17,79,.406,.375,.524,19.9,5.6,3.4,1.1
14,Sam Dekker\dekkesa01,Oct 28 '15 HOU vs. DEN,21,1,3,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,2.0,0.0,0.3,0.0
15,Duje Dukan\dukandu01,Apr 13 '16 SAC @ HOU,24,1,1,24,2,10,2,5,0,0,2,4,1,1,0,0,2,6,.200,.400,,24.0,6.0,4.0,1.0
16,Jarell Eddie\eddieja01,Dec 26 '15 WAS @ BRK,24,1,26,147,20,65,15,47,8,8,2,23,5,5,1,1,5,63,.308,.319,1.000,5.7,2.4,0.9,0.2
17,Cristiano Felício\feliccr01,Nov 9 '15 CHI @ PHI,23,1,31,321,40,72,0,4,25,35,30,102,26,6,13,13,31,105,.556,.000,.714,10.4,3.4,3.3,0.8
18,Jerian Grant\grantje02,Oct 28 '15 NYK @ MIL,23,1,76,1265,154,391,22,100,96,123,23,143,177,50,10,87,97,426,.394,.220,.780,16.6,5.6,1.9,2.3
19,Montrezl Harrell\harremo01,Oct 28 '15 HOU vs. DEN,22,1,39,379,58,90,0,1,24,46,25,65,17,11,11,17,48,140,.644,.000,.522,9.7,3.6,1.7,0.4
20,Aaron Harrison\harriaa01,Nov 20 '15 CHO vs. PHI,21,1,21,93,5,19,3,10,5,12,4,15,2,6,0,4,10,18,.263,.300,.417,4.4,0.9,0.7,0.1
21,Mario Hezonja\hezonma01,Oct 28 '15 ORL vs. WAS,20,1,79,1413,181,418,67,192,49,54,28,176,109,39,17,97,124,478,.433,.349,.907,17.9,6.1,2.2,1.4
22,Darrun Hilliard\hillida01,Nov 23 '15 DET @ MIL,22,1,38,383,52,131,19,50,29,40,5,45,27,9,1,19,28,152,.397,.380,.725,10.1,4.0,1.2,0.7
23,Rondae Hollis-Jefferson\holliro01,Oct 28 '15 BRK vs. CHI,21,1,29,615,63,138,4,14,37,52,39,154,43,39,16,26,61,167,.457,.286,.712,21.2,5.8,5.3,1.5
24,Richaun Holmes\holmeri01,Oct 28 '15 PHI @ BOS,22,1,51,702,114,222,8,44,51,74,62,135,33,19,40,32,92,287,.514,.182,.689,13.8,5.6,2.6,0.6
25,Marcelo Huertas\huertma01,Oct 28 '15 LAL vs. MIN,32,1,53,869,97,230,16,61,27,29,18,90,182,26,7,80,76,237,.422,.262,.931,16.4,4.5,1.7,3.4
26,Josh Huestis\huestjo01,Mar 24 '16 OKC vs. UTA,24,1,5,55,5,12,4,6,0,4,2,10,0,1,2,3,3,14,.417,.667,.000,11.0,2.8,2.0,0.0
27,R.J. Hunter\hunterj01,Nov 4 '15 BOS @ IND,22,1,36,315,36,98,19,63,6,7,2,37,13,14,4,11,29,97,.367,.302,.857,8.8,2.7,1.0,0.4
28,Damien Inglis\inglida01,Oct 28 '15 MIL vs. NYK,20,1,20,156,13,37,3,13,7,8,2,31,10,6,3,11,11,36,.351,.231,.875,7.8,1.8,1.6,0.5
